,type,setup,punchline,id
0,general,What's a computer's favorite snack?,Microchips.,423
1,general,What kind of bagel can fly?,A plain bagel.,251
2,programming,Why did the programmer quit their job?,They didn't get arrays.,437
3,general,Why are football stadiums so cool?,Because every seat has a fan in it.,404
4,general,Where was the Declaration of Independence signed?,At the bottom! ,293
5,general,What kind of tree fits in your hand?,A palm tree!,257
6,general,What kind of award did the dentist receive?,A little plaque.,250
7,general,What do you call a cow with two legs?,Lean beef.,196
8,general,What is a witch's favorite subject in school?,Spelling!,242
9,general,Why did the cookie go to the doctor?, Because it was feeling crumbly.,434
